,0,1,2
0,Explosion,1,0
1,Vehicle,1,2
2,Vehicle,1,4
3,Vehicle,1,6
4,Music,1,8
5,Music,1,10
6,Music,1,12
7,Music,1,14
8,Music,1,16
9,Boom,1,18
10,Music,1,20
11,Music,1,22
12,Music,1,24
13,Tap,1,26
14,Music,1,28
15,Music,1,30
16,Throbbing,1,32
17,Speech,1,34
18,"Heart sounds, heartbeat",1,36
19,"Heart sounds, heartbeat",1,38
20,"Heart sounds, heartbeat",1,40
21,Speech,1,42
22,Music,1,44
23,Music,1,46
24,Music,1,48
25,Music,1,50
26,Speech,1,52
27,Speech,1,54
28,Music,1,56
29,Music,1,58
30,Speech,1,60
31,Music,1,62
32,Music,1,64
33,Music,1,66
34,Speech,1,68
35,Music,1,70
36,Speech,1,72
37,Speech,1,74
38,Music,1,76
39,Speech,1,78
